titulo,anio,puntuacion,id
The Young Unknowns,2000,14,tt0186719
The Simian Line,2000,22,tt0186549
Bounce,2000,,tt0186894
Point Doom,2000,0,tt0186454
Fear of Fiction,2000,-,tt0187847
Price of Glory,2000,33,tt0188160
Pelon maantiede,2000,,tt0188135
Complicity,2000,50,tt0188518
Aliendog: Life as it is,2000,,tt0188398
Les fantômes des Trois Madeleine,2000,-,tt0188613
Catalina Trust,2000,-,tt0188490
Insatiable Wives,2000,-,tt0188688
Estorvo,2000,,tt0189509
Surrender,2000,22,tt0190052
Bad Faith,2000,0,tt0190994
Left Behind,2000,75,tt0190524
Shadow of the Vampire,2000,82,tt0189998
Wo hu cang long,2000,,tt0190332
Vatel,2000,31,tt0190861
28 Days,2000,33,tt0191754
The Skulls,2000,9,tt0192614
Vertical Limit,2000,49,tt0190865
Senke uspomena,2000,,tt0192346
A Raiz do Coração,2000,,tt0189960
Marlene,2000,-,tt0192295
Sand,2000,45,tt0190736
Circus,2000,9,tt0191037
Jim's Camera,2000,,tt0192180
La veuve de Saint-Pierre,2000,,tt0191636
No Alibi,2000,27,tt0192719
The Dancer,2000,68,tt0190346
Stardom,2000,42,tt0192949
Peixe-Lua,2000,,tt0191352
La carbonara,2000,-,tt0191865
Tierra del fuego,2000,,tt0192678
Badding,2000,49,tt0193741
A Shot at Glory,2000,67,tt0193854
"Hylätyt talot, autiot pihat",2000,,tt0194027
Panic,2000,91,tt0194218
Kanak Attack,2000,,tt0195001
Knockout,2000,-,tt0143344
Kin,2000,93,tt0195857
Un amor de Borges,2000,-,tt0194852
Total Loss,2000,-,tt0195352
The Right Temptation,2000,34,tt0196223
Newsbreak,2000,-,tt0195944
Erin Brockovich,2000,85,tt0195685
La donna falco,2000,,tt0195655
Here on Earth,2000,,tt0195778
Alone with a Stranger,2000,-,tt0195631
The Wrecking Crew,2000,95,tt0196219
Boesman and Lena,2000,-,tt0197311
Under Pressure,2000,46,tt0197072
Crime + Punishment in Suburbia,2000,,tt0197384
Detektor,2000,,tt0197402
Forever Lulu,2000,56,tt0196723
Loveblind,2000,-,tt0197644
Lush,2000,0,tt0197646
L'ombra del gigante,2000,,tt0197740
Lockdown,2000,58,tt0196708
What's Cooking?,2000,52,tt0197096
Partners in Crime,2000,17,tt0197753
Black Sea Raid,2000,,tt0197299
Wings of the Crow,2000,,tt0197104
Where the Heart Is,2000,35,tt0198021
Baby Luv,2000,-,tt0198320
After Sex,2000,5,tt0198284
Passion's Desire,2000,-,tt0198893
Gripsholm,2000,86,tt0199000
Lijmen/Het been,2000,,tt0198654
The Visit,2000,72,tt0199129
Preferisco il rumore del mare,2000,,tt0199077
Jill Rips,2000,11,tt0199650
Diamond Men,2000,81,tt0200427
Chuck & Buck,2000,84,tt0200530
Love & Basketball,2000,85,tt0199725
Manhattan Chase,2000,-,tt0199748
The Prophet's Game,2000,22,tt0199974
Stanley's Gig,2000,83,tt0200171
Tra(sgre)dire,2000,,tt0200192
Mambo Café,2000,65,tt0199744
Kuningas Hidas,2000,,tt0199696
Beautiful Joe,2000,60,tt0200472
Bad Luck Love,2000,-,tt0200299
Lakeuden kutsu,2000,,tt0199700
Coyote Ugly,2000,23,tt0200550
The Exchange,2000,-,tt0199504
The Last Producer,2000,33,tt0201726
Lost in the Pershing Point Hotel,2000,20,tt0201737
The House of Mirth,2000,82,tt0200720
True Rights,2000,-,tt0201275
The Golden Bowl,2000,54,tt0200669
A Rumor of Angels,2000,32,tt0201899
Whatever It Takes,2000,16,tt0202402
"L'amour, l'argent, l'amour",2000,,tt0203297
Tribulation,2000,,tt0202236
Der Krieger und die Kaiserin,2000,,tt0203632
No More Monkeys Jumpin' on the Bed,2000,-,tt0202502
You Can Count on Me,2000,95,tt0203230
The Alternate,2000,,tt0203835
Double Parked,2000,,tt0202856
Illicit Lovers,2000,-,tt0203580
The Way of the Gun,2000,46,tt0202677
L'invention de l'amour,2000,,tt0204414
Swimming,2000,74,tt0202711
Two Family House,2000,89,tt0202641
Greenfingers,2000,46,tt0203540
Animal Factory,2000,83,tt0204137
Faites comme si je n'étais pas là,2000,,tt0204315
Wilde mossels,2000,-,tt0204055
Boys and Girls,2000,11,tt0204175
Anna Wunder,2000,,tt0204140
Den bästa sommaren,2000,,tt0204932
The Dish,2000,96,tt0205873
Thomas and the Magic Railroad,2000,21,tt0205461
Tutto l'amore che c'è,2000,-,tt0205836
The Kaleidoscope,2000,,tt0206068
Sexy Beast,2000,87,tt0203119
Endsville,2000,,tt0202864
Men of Honor,2000,42,tt0203019
Pocetí mého mladsího bratra,2000,42,tt0203056
Something Sweet,2000,-,tt0203144
Tillsammans,2000,,tt0203166
La fidélité,2000,,tt0204761
The Watcher,2000,11,tt0204626
Ninja Mission 2000,2000,,tt0204499
Dubbel-8,2000,,tt0205027
Dr. T & the Women,2000,57,tt0205271
Camera Obscura,2000,43,tt0204933
A Sense of Entitlement,2000,,tt0205391
Blessed Art Thou,2000,-,tt0205778
The Summer of the Kavalcutes,2000,,tt0206324
Dos hermanos,2000,,tt0206694
The Man Who Cried,2000,35,tt0206917
Luck of the Draw,2000,-,tt0207036
Sirens of the Deep,2000,,tt0207271
Along for the Ride,2000,-,tt0206545
Sulla spiaggia e di là dal molo,2000,,tt0207130
Abschied - Brechts letzter Sommer,2000,,tt0206608
Family Jewels,2000,,tt0208376
The Miracle Maker,2000,86,tt0208298
Canone inverso - Making Love,2000,,tt0208032
Broke Even,2000,,tt0208017
Tolerância,2000,,tt0207163
Eine Hand Voll Gras,2000,,tt0206795
How to Kill Your Neighbor's Dog,2000,59,tt0207524
The King Is Alive,2000,60,tt0208911
Il partigiano Johnny,2000,,tt0206200
De ida y vuelta,2000,,tt0208889
Get Carter,2000,11,tt0208988
Here's to Life!,2000,-,tt0207638
"A Girl, Three Guys, and a Gun",2000,,tt0207745
After the Rain,2000,-,tt0207296
The Chaos Factor,2000,,tt0208037
No Taboo,2000,,tt0206977
Downtown 81,2000,79,tt0208993
King of the Korner,2000,,tt0209080
Desire,2000,-,tt0208883
Skipped Parts,2000,60,tt0209322
The Contender,2000,76,tt0208874
Gangster Number One,2000,,tt0210065
The Testimony of Taliesin Jones,2000,,tt0210357
Ginger Snaps,2000,90,tt0210070
Lakeboat,2000,83,tt0210149
Girlfight,2000,-,tt0210075
"Paris, mon petit corps est bien las de ce grand monde",2000,-,tt0210890
Ritual,2000,-,tt0210952
"Jails, Hospitals & Hip-Hop",2000,88,tt0210130
Johnny Famous,2000,-,tt0210776
Papa's Song,2000,-,tt0210884
The Weight of Water,2000,34,tt0210382
Remember the Titans,2000,72,tt0210945
Center Stage,2000,41,tt0210616
Nebeska udica,2000,,tt0209180
Iedereen beroemd!,2000,,tt0209037
Things You Can Tell Just by Looking at Her,2000,76,tt0210358
Pandaemonium,2000,58,tt0210217
A la medianoche y media,2000,,tt0210471
Beautiful,2000,17,tt0210567
Bootmen,2000,39,tt0210584
Songcatcher,2000,74,tt0210299
The Sky Is Falling,2000,68,tt0211309
Ainsi soit-il,2000,,tt0210480
Chasing the Dragon,2000,57,tt0211296
Love me,2000,49,tt0211554
Rosszfiúk,2000,,tt0212474
In Loving Memory,2000,,tt0211427
"Vera, nadezhda, krov'",2000,,tt0211721
Tully,2000,87,tt0212604
Groove,2000,-,tt0212974
Gouttes d'eau sur pierres brûlantes,2000,,tt0211387
Big Eden,2000,64,tt0212815
Bread and Roses,2000,67,tt0212826
Ghaath,2000,40,tt0213677
After Alice,2000,38,tt0212742
Seducing Maarya,2000,-,tt0213231
Obstacles,2000,84,tt0213127
Vengo,2000,62,tt0211718
"Tout va bien, on s'en va",2000,,tt0213595
Mohabbatein,2000,80,tt0213890
Jadviga párnája,2000,-,tt0213733
Her i nærheden,2000,,tt0212215
The Luzhin Defence,2000,57,tt0211492
An Intimate Friendship,2000,-,tt0212667
Beat,2000,57,tt0211941
The Clean and Narrow,2000,-,tt0212059
Cronicamente Inviável,2000,,tt0212897
75 Degrees in July,2000,-,tt0212719
Cicadas,2000,-,tt0212873
Malèna,2000,53,tt0213847
Christie Malry's Own Double-Entry,2000,54,tt0213561
Ponte Milvio,2000,,tt0213163
Fruen på Hamre,2000,,tt0212958
Pere,2000,,tt0213996
Skeleton Woman,2000,-,tt0214140
El visitante,2000,,tt0213308
Prime luci dell'alba,2000,,tt0214017
The Amati Girls,2000,46,tt0213446
La candide madame Duff,2000,,tt0213539
Ground Zero,2000,-,tt0213690
Fisimatenten,2000,-,tt0215770
Auslandstournee,2000,-,tt0215532
Crazy,2000,-,tt0215681
Le monde de Marty,2000,,tt0214959
The Last Patrol,2000,89,tt0214871
Conamara,2000,,tt0215651
Hochelaga,2000,76,tt0215850
Hijack Stories,2000,64,tt0215841
Love Her Madly,2000,-,tt0215941
Bamboozled,2000,53,tt0215545
Manila,2000,-,tt0215965
L'ultima lezione,2000,-,tt0216198
Surviving Paradise,2000,-,tt0216250
Wild About Harry,2000,-,tt0216279
Xscape,2000,,tt0216256
Code inconnu: Récit incomplet de divers voyages,2000,,tt0216625
Total western,2000,,tt0216750
Le conte du ventre plein,2000,,tt0216587
Vampire Hunter D: Bloodlust,2000,,tt0216651
Les blessures assassines,2000,,tt0216578
L'envol,2000,,tt0216740
Turn It Up,2000,10,tt0216772
La captive,2000,,tt0216605
The Day the Ponies Come Back,2000,,tt0216669
30 ans,2000,-,tt0216523
Les destinées sentimentales,2000,,tt0216689
"Harry, un ami qui vous veut du bien",2000,,tt0216800
Risk,2000,80,tt0217007
Trois,2000,70,tt0217107
Deeply,2000,20,tt0218141
Mallboy,2000,,tt0217643
Sin dejar huella,2000,,tt0216990
Ça ira mieux demain,2000,,tt0217168
Une affaire de goût,2000,,tt0217119
La vie moderne,2000,,tt0217132
L'altra cara de la lluna,2000,,tt0216965
Marie-Line,2000,,tt0216904
Dreams,2000,-,tt0217401
Unbreakable,2000,70,tt0217869
En vacances,2000,-,tt0216735
Sauve-moi,2000,,tt0217025
Sade,2000,68,tt0217019
Red Letters,2000,18,tt0217758
Looking for Alibrandi,2000,78,tt0217629
Harrison's Flowers,2000,49,tt0216799
Ropewalk,2000,,tt0218561
Rosa e Cornelia,2000,,tt0220011
"It's Alright Ma, I'm Only Trying",2000,,tt0216837
Agent Red,2000,26,tt0218080
Above Suspicion,2000,20,tt0219469
Le goût des autres,2000,,tt0216787
Suspicious River,2000,29,tt0219333
¿Tú qué harías por amor?,2000,,tt0218741
Dancing at the Blue Iguana,2000,23,tt0217355
The Claim,2000,62,tt0218378
Marine Life,2000,-,tt0218426
Boricua's Bond,2000,,tt0217287
Scarlet Diva,2000,52,tt0218581
Get Your Stuff,2000,29,tt0218298
Tatawo,2000,,tt0219338
Quinceañera,2000,87,tt0219990
Now Chinatown,2000,,tt0218475
Some Voices,2000,40,tt0218616
The Asylum,2000,-,tt0218824
Mexico City,2000,69,tt0219175
Macbeth-Sangrador,2000,,tt0219152
Kippur,2000,81,tt0218379
De omweg,2000,,tt0219223
Auggie Rose,2000,54,tt0219519
The Night Larry Kramer Kissed Me,2000,50,tt0219210
Así es la vida...,2000,,tt0218822
Pukar,2000,56,tt0218533
Family Man,2000,,tt0218967
Dancing in September,2000,73,tt0219636
The Gift,2000,58,tt0219699
Daybreak,2000,12,tt0219640
Arde amor,2000,-,tt0220313
The Tigger Movie,2000,62,tt0220099
Drop Back Ten,2000,,tt0220399
El mar,2000,,tt0220631
Princesses,2000,,tt0220670
Morir (o no),2000,,tt0220651
Beyond the Ocean,2000,-,tt0220332
Chopper,2000,76,tt0221073
Når mørket er forbi,2000,,tt0221446
Two Thousand and None,2000,88,tt0218800
Timecode,2000,68,tt0220100
The Newcomers,2000,33,tt0221431
Maelström,2000,79,tt0220627
Khauff,2000,38,tt0220596
Denti,2000,,tt0221115
Chasing Sleep,2000,50,tt0221069
Bel Air,2000,-,tt0221823
Contaminated Man,2000,17,tt0221885
Beautiful Creatures,2000,38,tt0221889
Seven Days to Live,2000,,tt0221928
Slip hestene løs,2000,,tt0221558
Borstal Boy,2000,45,tt0221838
Our Burden Is Light,2000,-,tt0221463
Mach 2,2000,0,tt0222020
Gaja Gamini,2000,,tt0221982
Hubo un tiempo en que los sueños dieron paso a largas noches de insomnio...,2000,,tt0222023
Hey Ram,2000,,tt0222012
The Broken Hearts Club: A Romantic Comedy,2000,,tt0222850
Kalt ist der Abendhauch,2000,,tt0222096
The Mistress Club,2000,,tt0223744
Phir Bhi Dil Hai Hindustani,2000,56,tt0222270
November 1828,2001,,tt0079644
Albela,2001,11,tt0118578
Don's Plum,2001,62,tt0119004
Glitter,2001,6,tt0118589
Camarate,2001,,tt0120624
"Berlin Diaries, 1940-45",2001,,tt0120605
Ricochet River,2001,28,tt0120807
The Lord of the Rings: The Fellowship of the Ring,2001,91,tt0120737
The Shipping News,2001,54,tt0120824
Driven,2001,14,tt0132245
Tales from the Tower,2001,,tt0138856
Training Day,2001,74,tt0139654
Silent Partner,2001,-,tt0145467
My Father's Love,2001,,tt0151685
L'amore probabilmente,2001,,tt0152083
Enigma,2001,72,tt0157583
After Image,2001,0,tt0157007
The Demo Crew,2001,,tt0159378
Behind Enemy Lines,2001,37,tt0159273
Final Solution,2001,100,tt0160275
Impostor,2001,25,tt0160399
The Scar,2001,-,tt0160816
Long Lost Love,2001,,tt0160480
Ghost World,2001,93,tt0162346
Africa I Love You,2001,,tt0161860
Net Worth,2001,,tt0163764
Dark Water,2001,47,tt0163596
Along Came a Spider,2001,-,tt0164334
The Distinct Smell of Red,2001,,tt0165713
Still Life,2001,63,tt0166186
Daddy and Them,2001,86,tt0166158
Memórias Póstumas de Brás Cubas,2001,,tt0166709
Race to Space,2001,71,tt0167360
Lagaan: Once Upon a Time in India,2001,95,tt0169102
Mulholland Drive,2001,,tt0166924
Aleksis Kiven elämä,2001,,tt0170517
Morgan's Ferry,2001,55,tt0170260
Zigs,2001,15,tt0173498
The Invisible Circus,2001,22,tt0178642
15 Minutes,2001,,tt0179626
"Hemingway, the Hunter of Death",2001,,tt0179844
Hard Ball,2001,,tt0180734
The Proposal,2001,27,tt0179435
The Midnight Hour,2001,70,tt0179344
Odmazda,2001,,tt0180894
Rubbernecking,2001,,tt0181796
Éloge de l'amour,2001,,tt0181912
The Caveman's Valentine,2001,,tt0182000
A Day in Black and White,2001,-,tt0184384
O,2001,65,tt0184791
Ring of Fire,2001,36,tt0186202
Les Boys III,2001,70,tt0186895
Last Days,2001,58,tt0188024
...Or Forever Hold Your Peace,2001,,tt0188378
Gabriela,2001,70,tt0189541
Dischord,2001,29,tt0191177
Leo und Claire,2001,,tt0192237
Finder's Fee,2001,60,tt0192023
Orphan,2001,,tt0193365
Texas Rangers,2001,2,tt0193560
Sam the Man,2001,20,tt0196068
Birds of Passage,2001,-,tt0194704
La donna antilope,2001,,tt0195654
Samsara,2001,100,tt0196069
See Jane Run,2001,-,tt0197862
Between the Moon and Montevideo,2001,-,tt0200483
Vercingétorix,2001,,tt0199481
Riding in Cars with Boys,2001,49,tt0200027
Så vit som en snö,2001,,tt0200191
All Forgotten,2001,28,tt0200422
Rock Star,2001,53,tt0202470
The Rising Place,2001,13,tt0201020
The Body,2001,,tt0201485
Longshot,2001,50,tt0201694
Beyond the City Limits,2001,12,tt0201479
Tart,2001,31,tt0203975
Rocky Road,2001,-,tt0203078
Moulin Rouge!,2001,,tt0203009
American Desi,2001,,tt0203289
Childhood,2001,-,tt0202294
Secret Needs,2001,-,tt0204619
Trouble Every Day,2001,56,tt0204700
AmnesiA,2001,-,tt0205738
Save the Last Dance,2001,54,tt0206275
"Was tun, wenn's brennt?",2001,,tt0207198
My First Mister,2001,,tt0206963
Die Reise nach Kafiristan,2001,,tt0207051
A Pocket Full of Dreams,2001,,tt0206211
4 Faces,2001,,tt0208167
The Trumpet of the Swan,2001,,tt0206367
Madison,2001,31,tt0206113
Lloyd,2001,73,tt0207585
The Sleepy Time Gal,2001,83,tt0207988
Diary of a City Priest,2001,40,tt0208899
Dying on the Edge,2001,-,tt0209020
La stanza del figlio,2001,,tt0208990
El bien esquivo,2001,-,tt0209941
Reaching Normal,2001,,tt0210939
Quem És Tu?,2001,,tt0210930
Tomorrow by Midnight,2001,,tt0210362
The Private Public,2001,-,tt0209253
Runners,2001,,tt0211279
Il conte di Melissa,2001,,tt0211318
Bride of the Wind,2001,-,tt0212827
Knockaround Guys,2001,21,tt0211465
Delivering Milo,2001,43,tt0212910
Last Ball,2001,,tt0212298
Rustin,2001,-,tt0213205
Lip Service,2001,-,tt0212271
La segunda noche,2001,,tt0212495
A.I. Artificial Intelligence,2001,,tt0212720
Blow Dry,2001,19,tt0212380
Hannibal,2001,39,tt0212985
Pearl Harbor,2001,24,tt0213149
Sensual Friends,2001,-,tt0214106
Automatic,2001,,tt0214503
Vajont - La diga del disonore,2001,,tt0214265
L'accertamento,2001,,tt0212725
Le bal des pantins,2001,,tt0214520
Nobody's Baby,2001,0,tt0215516
Dead Dog,2001,-,tt0214619
Russian Doll,2001,48,tt0215139
Annas Sommer,2001,,tt0215519
Enemy at the Gates,2001,,tt0215750
Semana Santa,2001,100,tt0216196
Random Acts,2001,-,tt0216994
Te quiero,2001,,tt0217085
Goodbye Charlie Bright,2001,78,tt0217824
Ablaze,2001,35,tt0217979
Toutes les nuits,2001,,tt0217100
'R Xmas,2001,,tt0217978
Strictly Sinatra,2001,63,tt0219327
The Long Run,2001,54,tt0218411
Human Nature,2001,97,tt0219822
Another Life,2001,46,tt0218000
Morning,2001,45,tt0217664
Hard Luck,2001,24,tt0218323
Prison Song,2001,94,tt0216982
Antitrust,2001,24,tt0218817
Circuit,2001,20,tt0218107
Reunion,2001,55,tt0220005
Un ange,2001,,tt0219369
Planet Alex,2001,,tt0218516
Original Sin,2001,12,tt0218922
Bandits,2001,64,tt0219965
Flossin,2001,-,tt0219687
Two Degrees,2001,-,tt0220122
On the Borderline,2001,11,tt0219957
Seven and a Match,2001,63,tt0220034
P.O.V.,2001,,tt0219876
Charmant garçon,2001,-,tt0220357
Intacto,2001,,tt0220580
On the Edge,2001,89,tt0221559
Blow,2001,55,tt0221027
An American Rhapsody,2001,56,tt0221799
Borderline Normal,2001,-,tt0221837
The Glass House,2001,22,tt0221218
All Over Again,2001,,tt0222705
The Old Man Who Read Love Stories,2001,64,tt0223832
Un amor en Moisés Ville,2001,,tt0225064
Angel Eyes,2001,32,tt0225071
Scandal: Sex@students.edu,2001,,tt0224084
Breathing Hard,2001,,tt0222849
Reversal,2001,84,tt0226379
Made,2001,71,tt0227005
Chelsea Walls,2001,26,tt0226935
One 2 Ka 4,2001,,tt0227194
The Score,2001,56,tt0227445
The Perfect Nanny,2001,23,tt0228711
Lovely Rita,2001,40,tt0228536
Storm in mijn hoofd,2001,,tt0228902
Green Dragon,2001,61,tt0229002
New Port South,2001,0,tt0229003
Rasganço,2001,,tt0228766
Social Misfits,2001,71,tt0228878
Two Coyotes,2001,-,tt0228977
America So Beautiful,2001,33,tt0229211
Viva Las Nowhere,2001,56,tt0229021
Bartleby,2001,35,tt0230025
"Mon père, il m'a sauvé la vie",2001,,tt0231782
Sweet November,2001,15,tt0230838
The Zookeeper,2001,52,tt0231001
Lying in Wait,2001,38,tt0232015
Les déclassés,2001,,tt0231514
17 rue Bleue,2001,-,tt0232548
Roberto Succo,2001,100,tt0234041
Baran,2001,89,tt0233841
Monte Carlo,2001,40,tt0234266
Cyclomania,2001,,tt0233509
Água e Sal,2001,,tt0235110
Det største i verden,2001,,tt0235796
Olivetti 82,2001,,tt0234374
Cookers,2001,43,tt0233481
Novocaine,2001,38,tt0234354
Disco Pigs,2001,,tt0236157
Prozac Nation,2001,28,tt0236640
Summer Catch,2001,8,tt0234829
On the Q.T.,2001,-,tt0236551
Margarita Happy Hour,2001,76,tt0236474
Atlético San Pancho,2001,,tt0236313
Gaudi Afternoon,2001,25,tt0235412
Maangamizi: The Ancient One,2001,-,tt0236461
The Tailor of Panama,2001,75,tt0236784
Piedras verdes,2001,,tt0236600
Echos of Enlightenment,2001,,tt0237199
Hunger,2001,87,tt0237320
Brotherhood of the Wolf,2001,73,tt0237534
The Pledge,2001,78,tt0237572
15 février 1839,2001,,tt0237994
Captain Corelli's Mandolin,2001,28,tt0238112
April Is My Religion,2001,-,tt0239238
Nobel,2001,,tt0238462
L'Anglaise et le duc,2001,,tt0239234
Tangled,2001,52,tt0238137
Julie Johnson,2001,50,tt0239509
Devi Putrudu,2001,,tt0239341
Tosca,2001,65,tt0240122
Girl,2001,84,tt0239430
Santa Cristal,2001,,tt0239938
Wormwood,2001,90,tt0238735
Giravolte,2001,,tt0240043
Origine contrôlée,2001,,tt0239224
All About You,2001,81,tt0239570
Ik ook van jou,2001,,tt0239060
The Island of the Mapmaker's Wife,2001,,tt0240621
La Ciénaga,2001,87,tt0240419
The Center of the World,2001,34,tt0240402
After April,2001,,tt0241470
The Blue Diner,2001,-,tt0241254
The Bank,2001,61,tt0241223
Brooklyn Babylon,2001,50,tt0240389
La precisione del caso,2001,,tt0239831
Une hirondelle a fait le printemps,2001,,tt0240149
I cavalieri che fecero l'impresa,2001,,tt0240659
The Gristle,2001,75,tt0241498
Lavoura Arcaica,2001,,tt0241663
Paralelní svety,2001,,tt0241802
Roads and Bridges,2001,-,tt0241897
Bui Doi,2001,,tt0242335
Demasiado amor,2001,-,tt0243212
À ma soeur!,2001,,tt0243255
Out of Line,2001,17,tt0242746
