puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,6.4,Elisabeth Subrin,Elisabeth Subrin,"A shot-by-shot reenactment of an unreleased 1967 documentary portrait of SAIC student Shulamith Firestone, who, a few years later, would become a central figure in the rise of radical feminism.",37,Drama,shulie,tt0177220
,-,Armando Milano,Armando Milano,"A young journalist on his first assignment falls in love with his subject, an up and coming nightclub singer.",9,Drama,rosie & me,tt10003786
,-,Ryan Chapel,"['Anthony Bello', 'Michael Robert', 'Jess Stainbrook']",A mysterious messenger delivers blank invitations to unsuspecting people that have more in common than we think.,-,Drama,the invite,tt10005560
,-,Daniel Molnár,Anita Pataki,"A girl realizes, she's in The Sims.",11,Drama,zöld fény,tt10009920
52,-,Gerard Dalmau,Gerard Dalmau,-,-,Drama,memòries,tt10008620
,-,Patrick Konior,-,-,-,Drama,christmas for the rest of us,tt10022526
86,-,Andrew Craig,Andrew Craig,-,7,Drama,jeremy,tt10022366
,-,Hiroki Wakamatsu,Tasha Cohan,Carly decides to interview her father for a school project; the subject: why she was taken away from her mother.,15,Drama,this other american life,tt10033692
,-,Benjamin Wilkinson,Benjamin Wilkinson,"Austin, a 19-year-old, non-verbal autistic boy, desperately seeks to escape his mother's over-protective hands and discover his own freedom. Through his journey to find independence and solitude, Austin and his mother establish a new level of communication and connection.",-,Drama,austin,tt10047804
,-,"['Pardis Azizi', 'Arash Parnousi']",Pardis Azizi,Hamed's dead body is found in his apartment. The police investigates the case by interviewing one of his friends and the neighbors.,7,Drama,the first act,tt10056262
,-,Miguel Ibarra,"['Miguel Ibarra', 'Mauricio Valdez']",-,-,Drama,islandia,tt10062540
,-,Kevin Wilson Jr.,Kevin Wilson Jr.,"After leaving her infant son alone in a car so she can buy liquor, a young mother returns to find that the car has been stolen.",4,Drama,alchy,tt10068190
,-,-,Giulia Gerosa,-,-,Drama,kalós,tt10069434
,-,Dino Santoro,Dino Santoro,"In the aftermath of a serious nuclear contamination, Victor and Darline live barricaded at home, wear gas masks and raise a child in a world that seems to have no future. They try not to succumb, to establish a new normal, but something shocking will definitely mark their destiny.",20,Drama,interno 8,tt10076030
,-,Tristan Bera,"['Tristan Bera', 'Beverly Charpentier', 'Joris-Karl Huysmans']",Based on Des Esseintes' literary black feast in A Rebours (1884) by Joris-Karl Huysmans.,23,Drama,diner noir istanbul,tt10081296
,5.5,"['Tristan Bera', 'Ana Vaz']","['Tristan Bera', 'Ana Vaz']","The ecologic crisis is a political, economic and social crisis. It is also cinematographic, as cinema coincides historically and in a critical and descriptive way with the development of the Anthropocene. ""A Film, Reclaimed"" is a conversation, an essay that reads the terrestrial crisis under the influence and with the help of the beautiful and terrible films which hav... Leer todo",20,Drama,"un film, réclamé",tt10086966
82,-,Zachary Davenport,Zachary Davenport,"Waiting for an early flight, Lance and Melanie waste time wandering around campus. All the while, their hidden conflicts rise to the surface.",16,Drama,greener grass,tt10087070
,-,Theun Hens,Theun Hens,-,-,Drama,ruis,tt10090780
,-,Alejo Garcerón,Alejo Garcerón,"The Story, set in 1976 in Argentina. The government is run by far-right wing of the Peronist part. Eduardo is an ex-police Officer, his daughter has being kidnapped and he rushes to find her no matter what.",-,Drama,1976,tt10090762
,-,Raul Andres Hernandez,Raul Andres Hernandez,-,-,Drama,the girl in pieces,tt10091854
,-,Jackson Young,Jackson Young,"After being peer pressured by his friends to go fight, B-Nasty finds out the true meaning of being a real man.",16,Drama,real nigga,tt10127240
,-,Ilona Codaccioni,Ilona Codaccioni,-,-,Drama,i disgraziati,tt10127816
,-,Tina Kruger,Stiaan Smith,-,24,Drama,beurtkrag,tt10137752
,-,Jimena Muhlia,Jimena Muhlia,"After her suit is broken, Maria must face her own shame to get on stage.",5,Drama,after the birds,tt10140096
