puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,7.6,Judy Chaikin,"['Judy Chaikin', 'Gregory Burns']",-,-,Comedia,cotillion '65,tt0263235
,6.5,Ashley Horner,Gavin Williams,Intense film about a day in the life of the overheated sport teacher Rob Meadows.,-,Comedia,rob of the rovers,tt0265655
,8.6,Vivieno Caldinelli,"['Josh Gal', 'Mark Montefiore']","Growing up isn't all it's cracked up to be. Just ask third-grader, Ella Johansen (played by Libby Adams), who just wants to be a kid.....forever. When third-grader, Ella Johansen's parents don't show up for Career Day, Ella's teacher pushes her to take the stage and explain how she sees her own career. Career Day is a satiric look at society through the eyes and imagi... Leer todo",-,Comedia,career day,tt0293008
,6.6,['Antonia San Juan'],['Luis Miguel Segu'],-,-,Comedia,v.o.,tt0311966
,7.3,Dan Zeff,Dan Zeff,"Sweetnightgoodheart is a short-film about a man that prepares to make a huge change in his life; but all doesn't exactly turn out as planned and it all turns in the opposite direction from what he originally planned. As the plot continues the issues just get more extreme, Pete ends up with a very, very big problem that can not be... You guessed it, or you didn't; it c... Leer todo",-,Comedia,sweetnightgoodheart,tt0329650
,-,Gabriel Velázquez,"['Ricardo Luis', 'Gonz Gabriel Vel']",-,-,Comedia,london calling,tt0336766
,8.3,David Paymer,Steve Paymer,-,-,Comedia,candor city hospital,tt0358412
98,7.9,Tracie Laymon,Tracie Laymon,"17 year-old Gaby George struggles to communicate with her cheapskate father and indifferent boyfriend and, as a result, escapes through fantasy to a life with more intimate connections.",-,Comedia,up,tt0365883
,7.1,Todd Hughes,"['Todd Hughes', 'Gertrude Stein']","From 1911 to 1946, Gertrude Stein and Alice B. Toklas lived together in Paris as husband and wife. Although they were not ""out"" as lesbians, the inseparable duo forged a prophetic and enduring same-sex union. In HUBBY/WIFEY, a modern lesbian couple shares a fever dream with their foremothers, Gertrude and Alice, of the joys and trials of gay marriage. The film pays ho... Leer todo",-,Comedia,hubby/wifey,tt0367866
,6.1,Bradley Scott,Michael Lippman,In any relationship there are things we hate about the other person. It's not wise to tell them and it's not wise to keep it bottled up. But then if they are sleeping when we tell them...,-,Comedia,i hate you,tt0395589
-,7.0,"['Charles Guard', 'Thomas Guard']","['Charles Guard', 'Thomas Guard']","Desperate to get across London to meet his girlfriend off the Eurostar, a man persuades a pretty bicycle courier to take him on the back of her bike, creating a dilemma he wasn't expecting.",-,Comedia,round about five,tt0405282
100,-,"['Marlon Cantillano', 'David Lengel']",David Lengel,-,-,Comedia,lily,tt0410231
,8.0,Helen Grace,"['John Campbell', 'Mac Helen', 'Grace Chico Slimani']","Winner Takes All is the tale of a cocky Stranger who enters a rowdy bar and accepts a challenge to win a pot of money. He fails to listen to the rules properly, with shocking but hilarious consequences. The tale is based on an old joke, and is all told in rhyme.",-,Comedia,winner takes all,tt0412074
22,8.4,Eme Guitron,Joey Jameson,-,-,Comedia,the boss,tt0420529
,5.4,Ben Gregor,Tim Plester,"Cult '80s sci-fi gang ""Blake's 7"" make an eventful late night stop at Newport Pagnell Services on the M1.",-,Comedia,blake's junction 7,tt0421750
,4.6,Kasper Gaardsøe,Mette Heeno,"Holger has been stung by love all his life. When he finally meets the girl of his dreams, he decides to switch identities with his womanizing neighbor so he can win her heart - But can love be true when it's based on a lie?",-,Comedia,bare holger,tt0431646
82,7.3,Darin Beckstead,Darin Beckstead,A young director must find a way to make his movie after he accidentally breaks the main prop.,-,Comedia,courage & stupidity,tt0436194
,7.0,Tom Putnam,"['Michael S', 'Harbour Jeff', 'Malmberg Tom Putnam']","""Broadcast 23"" is a comedy disguised as a horror film. Professor Russell Morgan thinks he's on to the scientific break-through of the century. He couldn't be more right... or more wrong. ""May God have mercy on our souls, Broadcast 23 wasn't a greeting at all...""",-,Comedia,broadcast 23,tt0437887
,7.0,Justin Dickel,"['Adrienne Bertoli', 'James Dormer']",-,-,Comedia,the welcome committee,tt0439332
89,7.2,Ari Sandel,"['Kim Ray', 'Ari Sandel']","A musical comedy set in the fast-paced, fast-food world of dueling falafel restaurants on the West Bank.",-,Comedia,west bank story,tt0438575
,7.1,['Nicholas Mc Carthy'],"['Nicholas Mc', 'Carthy Charlie Short']","The inside story of the Rapture, told through a disaffected teen, a hippie, beef jerky, and a circumcision.",-,Comedia,cry for help,tt0441747
,-,Bernard Tanguy,Bernard Tanguy,A young MBA graduate is going to have his first job interview in his life. Really nothing to worry about...,-,Comedia,à l'état d'e(m)bauche,tt0440990
,7.2,Don Hertzfeldt,Don Hertzfeldt,"The evolution of humanity, through countless eons.",-,Comedia,the meaning of life,tt0440972
,6.6,['Lee Isaac Chung'],['Lee Isaac Chung'],The intimate details of a young interracial couple's breakup are interrupted by a friend's vulgar rant.,-,Comedia,sex and coffee,tt0441790
,6.2,Cesar Kuriyama,-,-,-,Comedia,awkward,tt0443437
59,7.4,Aaron Ruell,Aaron Ruell,"A Catholic schoolgirl sees a vision of the Virgin Mary, with modern implications.",-,Comedia,mary,tt0443581
,9.6,Nicholas Tucker,Mark Hefti,"A man falls in love with a phone-sex operator, who turns out to be his male neighbor.",-,Comedia,play ball,tt0446017
,-,['A J Tsiakas'],['A J Tsiakas'],"Dion is about to graduate University, and is still living at home with his delusional and self-obsessed family. He is also gay, and in the closet. How can he tell his family who he really is when they are completely wrapped up in themselves? It takes a surprise visit from his Godparents and a young Priest from Greece to show him the answer.",-,Comedia,big fat greek fag,tt0446542
,7.6,Hany Tamba,Hany Tamba,-,-,Comedia,beyrouth après-rasage,tt0446892
,7.4,['Jason Christopher Mercer'],['Jason Christopher Mercer'],"Accused of crimes they didn't commit, IT professionals are viewed as guilty until proven innocent in the eyes of their suspicious co-workers. But like an IT Fairy Godmother, Judge Jimmy and his make-shift courthouse make surprise office appearances to put abusers on trial and deliver hard-hitting IT justice.",-,Comedia,office court,tt0446011
,4.3,Holger Haase,Steffen Weinert,-,-,Comedia,für gutes betragen,tt0446698
68,7.1,Aaron Ruell,Aaron Ruell,"A man, who has not left the building he works and lives in for 14 years, meets a receptionist eager to understand more about his mysterious life.",-,Comedia,everything's gone green,tt0443500
,6.8,['D C Douglas'],['D C Douglas'],A blend of 60's Technicolor European romp and post-modern cynicism.,-,Comedia,"duck, duck, goose!",tt0443491
73,7.1,-,-,A confrontation between an angry New Yorker with a camcorder and the sneaky neighbor who's been stealing his newspaper.,-,Comedia,neighbors,tt0443597
,-,"['Jason Lewis', 'Pornsak Pichetshote']",Pornsak Pichetshote,"An urban fable about people looking for colors... told entirely in black and white. In a city with 16 million eyes, a photographer, a filmmaker and an almost-doctor can't trust anything they see, but it's one wrong glance that might bind them tightly together.",-,Comedia,color of a doubt: an urban fable,tt0443470
