puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
17,7.0,Bálint Kenyeres,"['Bálint Kenyeres', 'György Réder']","Before dawn, people will rise and other people will take away their hope.",13,Accion,before dawn,tt0434067
,7.0,Tom Putnam,"['Michael S. Harbour', 'Jeff Malmberg', 'Tom Putnam']","""Broadcast 23"" is a comedy disguised as a horror film. Professor Russell Morgan thinks he's on to the scientific break-through of the century. He couldn't be more right... or more wrong. ""May God have mercy on our souls, Broadcast 23 wasn't a greeting at all...""",7,Accion,broadcast 23,tt0437887
,8.1,Keith Jodoin,"['Keith Jodoin', 'Robert Alan Anderson']",An action serial about a highly trained young woman who's embarking on her career as an international spy and discovering it takes more than good looks to keep things from falling into the wrong hands.,30,Accion,evenfall,tt0444625
,6.4,Didier Bénureau,"['Didier Bénureau', 'Anne Gavard']","Hesitant to have his cat neutered, Rémi inquires about the possibility of a sex life without testicles. A man in search of his sexual identity.",22,Accion,les couilles de mon chat,tt0446975
50,4.1,Alex Ferrari,"['Alex Ferrari', 'Jorge F. Rodriguez']","A gun blast, a flash of light, and a young woman awakens to the comfort of her own bed. Bonnie Clayton has it all, a great relationship, a challenging career, and the burden of a dream that grows more vivid and disturbing with each passing night. But when Bonnie is abducted by a sadistic stranger and his colorful entourage, she discovers that the key to her survival l... Leer todo",19,Accion,broken,tt0446663
,7.4,Ford Austin,Ford Austin,"When an E.T. attempts to return to his home planet, he is cornered by a sexy bounty hunter from space and her sidekick who try to bring him in and collect the bounty on his head. The alien is forced to fight for his life in a battle that kicks off an intergalactic war.",-,Accion,cerebral print: end game,tt0447889
,-,Todd G. Bieber,Todd G. Bieber,"Harold, an upper class fly fisherman, forces Jimmy, a beer drinking good ole boy, out of a prime fishing hole. When the waters turn rough, Harold's only hope for survival is calling for help from the man he just tried to have arrested.",5,Accion,neck deep,tt0449076
,7.9,Chris Hall,Chris Hall,-,6,Accion,nun fu,tt0451146
,-,Hakan Haslaman,Hakan Haslaman,-,-,Accion,way of khan,tt0452704
,8.6,Ian Truitner,Ian Truitner,A day of wrath leaves only one man standing.,-,Accion,dies irae,tt0453357
,8.0,Alex Ranarivelo,"['Eric Anderson', 'Alex Ranarivelo']","A man wakes up in a hospital after a car accident. As he goes in and out of consciousness, he thinks he sees a nurse euthanize the patient next to him. When he tells the doctors what happened, no one believes him.",20,Accion,morphin(e),tt0455640
,-,Fareed Abdelhak,"['Fareed Abdelhak', 'Keith Terrillon']","Los Angeles, California... 75,000 dead. Houston, Texas... 100,000 dead. Time period... two weeks. Cause... Diabolus... a lethal biological agent. FBI Counterterrorist Agent Kam Saab has been on the hunt for the sadistic group of domestic terrorists responsible since these deadly acts arose. His mission leads him to a new metropolitan centre where he is liaising with S... Leer todo",11,Accion,diabolus,tt0457653
,9.3,Ryan Carr,Ryan Carr,-,-,Accion,cop vs. cop,tt0457311
-,-,Mark Edward Lewis,Nick D. Diaz,A Young Business man discovers that he can be a true conqueror with peace.,12,Accion,the crusader,tt0458346
,6.3,Michael Berry,"['A.K. Murray', 'M.B. Murray']","A man's world is invaded by a ferocious bird, thrusting him into an escalating, action-filled battle that transforms his life into something far beyond his dreams.",15,Accion,the day of the grackle,tt0458350
53,7.5,Gabriel Dowrick,David Ratner,In a post apocalyptic Australia a homeless man without a past discovers a baby without a future... But both are more than they appear as destiny collides with kung-fu.,7,Accion,the razor's edge,tt0459523
,2.6,Ethan Tran,Ethan Tran,"""Color Blind"" explores the possibilities of reality with its brandish action sequences and thought-provoking concepts. The two main characters of ""Color Blind"" long for pain simultaneously within their own worlds. By provoking others, They are briefly able to restore what was tragically stolen from them as children.",-,Accion,color blind,tt0458343
83,6.5,Nash Edgerton,Nash Edgerton,Lucky finds himself in a bind - and it's going to take more than a Houdini act to get out of this situation.,5,Accion,lucky,tt0460496
64,7.4,Richard Tucci,Richard Tucci,-,6,Accion,blink,tt0463917
,5.6,Umberto González,Umberto González,A real estate agent gets what is coming to him.,17,Accion,hustler's instinct,tt0464058
21,7.3,Albert Pedraza,Albert Pedraza,-,-,Accion,derailed,tt0463956
,6.6,Itsurô Kawasaki,"['Clamp', 'Midori Goto', ""Jun'ichi Fujisaku""]","The Gang arrives at the Country of Birdcages, a place where everyone has a bird as a pet and a friend. The gang gets separated. Syaoran, Sakura and Mokona meet a princess who warns them of her uncle, the king. Appearances may be deceiving.",30,Accion,gekijouban tsubasa kuronikuru: torikago no kuni no himegumi,tt0466551
,6.5,Kasper Vejlø Kristensen,"['Jonas Borgen', 'Kasper Vejlø Kristensen']",-,8,Accion,jackpot,tt0468497
33,6.0,Junya Okabe,Junya Okabe,-,41,Accion,specter,tt0466136
,7.9,Geva Patz,Geva Patz,A woman is chased by a menacing man. Will anyone save her?,2,Accion,thug,tt0466588
,6.4,Pascale Marcotte,Pascale Marcotte,Two supermarket shoppers reach for the last tube of a rare toothpaste breaking into hand-to-hand battle.,8,Accion,shopping extreme,tt0468866
,9.1,"['Thomas Mahoney', 'Michael Reilly']","['Thomas Mahoney', 'Michael Reilly']","Scott McTiernan, an out of work musician is taken by his would-be fiancé to meet her father. On a simple mission for milk with Bill Ventura, her father, Scott makes an earth-shattering discovery.",11,Accion,alienation,tt0469022
,-,Ford Austin,Ford Austin,-,-,Accion,ninja vs. cerebral print,tt0468817
,5.7,Anthony L. Fletcher,Anthony L. Fletcher,"The Gotham mob wants control of the east end, but only one person stands in there way. . . . Catwoman.",24,Accion,catwoman: nine lives,tt0470709
,7.5,Eric Bomba-Ire,"['Matt Ruggles', 'Nathan Flood', 'Matt Hirsch']",The kidnapping of a little girl forces an over-the-hill action hero to dust off his clothes and come out of retirement.,-,Accion,concrete brown,tt0470992
,7.0,Rocky Jo,"['Damon Chang', 'Rocky Jo']","Bunny & Clydo is non-stop Asian-stylized adrenaline with a heart. An utterly wild and distinctly Asian couple find themselves in the greatest fight of their lives when a jealous rookie Detective is bent on destroying their love. Can Bunny & Clydo find a way to overcome the one man who stands in the way of their happiness, or is it the end of the line for one of our mo... Leer todo",18,Accion,bunny & clydo,tt0470706
