,actores
0,Pilar Padilla
1,Arthur Semay
2,Cecilia Dopazo
3,Herb Andress
4,Zoe Miller
5,Connie Schiro
6,Itay Barnea
7,Scott Ramirez
8,Sonia Satra
9,Philip Spensley
10,Danny Pickering
11,Corey Staden
12,Sheetal Sheth
13,Justino Díaz
14,Cody McMains
15,Molly J. Neylan
16,Kenny Blank
17,Michael Weiss
18,Guilford Adams
19,Isabelle Candelier
20,Rene Costa
21,Amy Hill
22,Susan Glover
23,Richard Sutherland
24,Dylan Bruno
25,Michel Cassagne
26,Vincent Branchet
27,Brett Stiller
28,Marc Andréoni
29,Vincent Bilodeau
30,Morgan Howell
31,Juan Fernández
32,Flavio Bonacci
33,Clarence Williams III
34,Patrick Breen
35,Powers Boothe
36,Alan Rickman
37,Giampiero Judica
38,Jimmy Smits
39,Jessica Tuck
40,Daisy Donovan
41,Ho Chow
42,Chris Larkin
43,Enzo Moscato
44,Dean Teaster
45,Florent Pagny
46,Jim Cody Williams
47,Ralph Fiennes
48,Adrienne Pearson
49,Alex Burchu
50,Geraldine LiBrandi
51,Manuel Manquiña
52,Pam Loe
53,Robert Lin
54,David McKay
55,Dan Leis
56,Heinrich Giskes
57,Jeremy Sumpter
58,Adriano Luz
59,John Lithgow
60,Barry Shabaka Henley
61,Pete Postlethwaite
62,Brigid Tierney
63,Frank Michael Liu
64,Darío Levy
65,Aykut Kayacik
66,Hayden Tank
67,Arcelia Ramírez
68,Rachael MacKenna
69,Susan Sarandon
70,Andrew Lincoln
71,Sophie Broustal
72,Dawn Perkins
73,Chris Sadrinna
74,Najwa Nimri
75,Leslie France
76,Mitchell Dellevergin
77,William Bumiller
78,Michael Jaworski
79,Richard Moll
80,Cliff Curtis
81,Joy Bryant
82,Abdou El Mesnaoui
83,Clemency Burton-Hill
84,Mike Moroff
85,Jordan Bayne
86,Mark Patrick Gleason
87,David Alan Graf
88,Louis Hilyer
89,Vladimir Vlaskalic
90,Hugh Callaly
91,Philip Craig
92,Noémie Godin-Vigneau
93,Ricardo Darín
94,Stefan Gebelhoff
95,Tunde Adebimpe
96,Alejandro Usigli
97,Tina Engel
98,Donna Maddalena
99,Kylie Minogue
100,Veronika Bellová
101,John C. Reilly
102,Steffen Wild
103,Milo Frank
104,Vijay Raaz
105,Uwe Kockisch
106,Danielle Ciardi
107,Dor Peles
108,Harrison Bieker
109,Kamran Hisari
110,Gavin MacLeod
111,Jack Dee
112,Rick McCallum
113,William Diehl
114,Billy Crudup
115,Talia Osteen
116,Ana Paula Mateu
117,Christopher Curry
118,Luis Ángel Priego
119,Jan Tiselius
120,Blanca
121,Petter Billengren
122,Donavan Suitt
123,Ndondoro Hevita
124,Rory McCann
125,Frances McDormand
126,Rick Majeske
127,Yumiko Tanaka
128,Enrique Singer
129,Gladise Jiminez
130,Fabio Restrepo
131,Derek Johnson
132,Claudia Black
133,Laurence Lau
134,Roy Sampson
135,Moritz Rinke
136,Börge Jansson
137,Keira Knightley
138,Elizabeth Berridge
139,Gigi St. Blaque
140,Kathleen Roll
141,Rui Luís
142,Kevin Pollak
143,Keanu Reeves
144,Jan Frycz
145,Al Sapienza
146,Patrick Malahide
147,Neve Campbell
148,Emily McArthur
149,Keith Dallas
150,Vanessa Alves
151,Noke-D.
152,Marisa Ryan
153,Anick Lemay
154,Tonea Stewart
155,Chitra Lakshmanan
156,Börje Ahlstedt
157,Jack Ketchmark
158,K.D. Aubert
159,Annabella Piugattuk
160,John Achorn
161,Emmanuelle Vaugier
162,Janet Kidder
163,Tamio Ôki
164,Jagathy Sreekumar
165,Helen Thomson
166,Hannu Virolainen
167,Scott Gurney
168,Ildikó Ráczkevy
169,Matthew Bennett
170,Tianna Sansbury
171,Dira Paes
172,Claudia Hurtubise
173,Reese Witherspoon
174,Nino Manfredi
175,Roosevelt Flenoury
176,Barry Davis
177,Bernard Waver
178,Sidede Onyulo
179,Rosa Zacharie
180,Sergiusz Zymelka
181,Spragga Benz
182,Lynn Whitfield
183,Marc Grapey
184,Svetlana Efremova
185,Anna Stephan
186,Brett Gilbert
187,Michael Krawic
188,Shauna MacDonald
189,Jim Bardeglinu
190,Mirjana Karanovic
191,Bob Tracey
192,Tony Becker
193,Jonathan Zaccaï
194,Byron West
195,Chris Gauthier
196,Marlon Brando
197,Rade Radovic
198,Gabriel Casseus
199,Liron Levo
200,Charlotte Munksgaard
201,Maimouna Hélène Diarra
202,William Sanderson
203,Rade Serbedzija
204,Michael Worth
205,Denise Dal Vera
206,Diana Hardcastle
207,Raphael Sparanero
208,Gene Pyrz
209,Fabio Giubbani
210,Dastan Khalili
211,Dianne Wiest
212,Ashe Starr
213,Nazmiye Oral
214,Shannah Laumeister Stern
215,Astrid Reitsema
216,David Huband
217,Laurel Holloman
218,Theodora Horowitz
219,Dena Lang
220,Ken Magee
221,Fernando Carballo
222,Ari Gold
223,Michael Disend
224,Gun-Marie Nordling
225,Albert Finney
226,Ion Caramitru
227,Andreas Apergis
228,Caio Blat
229,Mark Collie
230,Bruno Martelo
231,Andrea Bogart
232,Richard Biggs
233,Iris Sommerlatte
234,Carlos Gassols
235,LisaRaye McCoy
236,Lalanya Masters
237,Anne Heche
238,Yvon Back
239,Xabier Elorriaga
240,Madeleine Sami
241,Filipe Ferrer
242,Piet Klocke
243,Dayton Callie
244,Blanca Apilánez
245,Lindsay Younce
246,Björn Bengtsson
247,Jasna Bilusic
248,Manuel San Martín
249,Caroline Buzanko
250,Michelle Forbes
251,David Wai-Sheung Lee
252,Mosko Alkalai
253,Sylvie Loeillet
254,Lilla
255,Christine Henkart
256,Merwin Mondesir
257,Irina Dinescu
258,Francisco Rey
259,Vivek Oberoi
260,Aaron Michael Lacey
261,Patrick Carroll
262,Rebecca Ritz
263,Nadia Litz
264,Carla Gallo
265,Alejandra Montoya
266,Raymonde Abecassis
267,Jean-Marie Lhomme
268,Peter Simonischek
269,Bruce Gray
270,Gary Kemp
271,Lorenzo Crespi
272,Jean-Luc Dossi
273,Adam Carolla
274,Sabrina Seyvecou
275,Usha Paudel
276,"Perayya, Satyavati's grandfather"
